borrowId	studentId	bookId	takenDate	broughtDate
1	360	142	09/08/15 13:26	20/08/15 06:59
2	308	131	10/08/15 19:44	15/08/15 10:46
3	288	160	10/08/15 22:05	19/08/15 17:28
4	57	24	11/08/15 02:32	17/08/15 15:12
5	504	110	12/08/15 12:05	21/08/15 07:16
6	38	101	12/08/15 12:25	18/08/15 04:33
7	425	122	13/08/15 13:51	20/08/15 09:27
8	363	64	13/08/15 15:58	19/08/15 23:10
9	348	24	18/08/15 09:27	28/08/15 12:48
10	88	36	19/08/15 22:11	08/09/15 06:28
11	19	111	21/08/15 16:39	29/08/15 00:28
12	200	152	21/08/15 22:13	02/09/15 00:17
13	421	100	23/08/15 16:58	28/08/15 11:27
14	216	26	24/08/15 20:06	02/09/15 21:56
15	298	53	24/08/15 21:59	05/09/15 16:29
16	264	109	25/08/15 00:22	28/08/15 19:06
17	499	62	25/08/15 12:12	05/09/15 10:26
18	211	120	28/08/15 19:57	05/09/15 10:39
19	332	91	30/08/15 00:37	18/09/15 08:46
20	66	150	30/08/15 18:51	04/09/15 03:32
21	37	24	31/08/15 04:30	17/09/15 00:15
22	210	53	31/08/15 14:11	17/09/15 23:38
23	253	139	01/09/15 16:59	12/09/15 06:07
24	303	6	01/09/15 19:43	04/09/15 01:57
25	465	16	01/09/15 23:23	19/09/15 19:52
26	349	75	03/09/15 13:37	20/09/15 07:56
27	39	106	05/09/15 07:19	20/09/15 03:55
28	482	122	05/09/15 14:32	16/09/15 04:40
29	143	20	05/09/15 19:41	10/09/15 17:03
30	88	148	05/09/15 21:37	22/09/15 16:38
31	173	3	06/09/15 05:03	18/09/15 11:32
32	190	141	06/09/15 16:51	17/09/15 22:16
33	368	93	07/09/15 16:16	17/09/15 14:53
34	416	97	08/09/15 02:42	24/09/15 19:18
35	374	90	08/09/15 23:12	25/09/15 17:52
36	389	146	10/09/15 11:58	27/09/15 21:18
37	118	60	10/09/15 23:10	30/09/15 10:28
38	367	26	12/09/15 05:02	17/09/15 04:43
39	347	149	12/09/15 10:53	13/09/15 05:45
40	271	16	14/09/15 03:20	24/09/15 04:43
41	126	99	14/09/15 09:25	17/09/15 09:36
42	33	167	14/09/15 18:45	22/09/15 01:27
43	432	87	16/09/15 00:58	23/09/15 21:12
44	206	16	16/09/15 02:28	04/10/15 02:48
45	7	108	18/09/15 22:48	08/10/15 22:32
46	436	132	21/09/15 11:30	10/10/15 11:51
47	500	34	23/09/15 13:46	28/09/15 12:01
48	72	39	25/09/15 11:34	04/10/15 02:21
49	378	140	25/09/15 16:17	27/09/15 03:26
50	495	111	27/09/15 00:47	27/09/15 09:37
51	104	124	28/09/15 03:49	12/10/15 06:25
52	164	158	28/09/15 07:03	12/10/15 12:45
53	429	53	29/09/15 04:43	29/09/15 10:18
54	353	114	29/09/15 21:35	08/10/15 14:24
55	350	78	01/10/15 05:48	17/10/15 11:44
56	304	137	01/10/15 09:41	01/10/15 14:29
57	468	148	01/10/15 11:42	08/10/15 08:30
58	268	151	01/10/15 11:43	10/10/15 17:59
59	121	82	01/10/15 11:50	16/10/15 19:08
60	442	91	01/10/15 12:07	16/10/15 09:38
61	372	121	01/10/15 12:54	02/10/15 08:01
62	35	93	01/10/15 13:52	03/10/15 15:32
63	26	84	01/10/15 14:04	05/10/15 16:35
64	172	61	01/10/15 14:13	08/10/15 12:36
65	32	17	01/10/15 14:28	07/10/15 11:22
66	270	96	01/10/15 15:44	17/10/15 10:24
67	291	26	01/10/15 15:56	20/10/15 16:24
68	216	122	01/10/15 16:33	09/10/15 12:31
69	178	30	01/10/15 16:53	08/10/15 18:30
70	32	156	01/10/15 17:08	10/10/15 18:36
71	63	147	01/10/15 18:34	21/10/15 11:39
72	145	166	01/10/15 18:38	06/10/15 19:17
73	20	76	01/10/15 18:42	06/10/15 11:42
74	262	101	01/10/15 19:07	08/10/15 15:00
75	126	70	01/10/15 19:22	19/10/15 18:23
76	429	129	02/10/15 08:08	09/10/15 19:54
77	348	90	02/10/15 10:01	14/10/15 18:11
78	145	9	02/10/15 10:17	22/10/15 09:41
79	40	29	02/10/15 10:45	10/10/15 17:16
80	481	144	02/10/15 12:23	16/10/15 17:33
81	75	111	02/10/15 13:22	07/10/15 19:01
82	324	33	02/10/15 15:32	19/10/15 09:02
83	15	97	02/10/15 16:29	09/10/15 11:27
84	107	4	02/10/15 16:52	09/10/15 18:22
85	97	101	02/10/15 17:48	09/10/15 14:25
86	411	113	02/10/15 18:56	07/10/15 17:17
87	11	61	02/10/15 19:18	02/10/15 19:59
88	146	79	02/10/15 19:46	07/10/15 16:52
89	263	93	02/10/15 19:54	19/10/15 18:12
90	97	19	03/10/15 08:51	14/10/15 16:32
91	323	88	03/10/15 09:00	05/10/15 16:57
92	176	28	03/10/15 09:07	19/10/15 13:18
93	444	17	03/10/15 09:09	03/10/15 14:14
94	50	119	03/10/15 10:24	13/10/15 17:34
95	204	1	03/10/15 12:00	20/10/15 14:04
96	323	150	03/10/15 12:10	09/10/15 18:16
97	364	4	03/10/15 12:24	15/10/15 09:54
98	252	122	03/10/15 13:11	10/10/15 08:36
99	281	77	03/10/15 13:46	10/10/15 13:42
100	350	134	03/10/15 13:59	21/10/15 13:09
101	401	91	03/10/15 14:04	23/10/15 10:48
102	382	54	03/10/15 14:18	16/10/15 13:28
103	36	44	03/10/15 15:57	09/10/15 10:43
104	417	108	03/10/15 16:03	22/10/15 11:36
105	420	123	03/10/15 16:08	17/10/15 08:01
106	78	18	03/10/15 16:26	15/10/15 16:42
107	442	80	03/10/15 16:28	16/10/15 12:48
108	256	70	03/10/15 17:56	09/10/15 19:16
109	150	13	03/10/15 18:40	20/10/15 17:59
110	212	99	03/10/15 18:56	10/10/15 19:54
111	459	162	03/10/15 19:51	23/10/15 18:00
112	149	40	03/10/15 21:59	09/10/15 05:25
113	189	160	03/10/15 23:42	17/10/15 15:28
114	88	21	04/10/15 01:31	21/10/15 03:17
115	498	17	04/10/15 06:58	12/10/15 10:27
116	499	22	04/10/15 10:40	13/10/15 20:20
117	436	91	05/10/15 08:40	13/10/15 15:53
118	433	165	05/10/15 09:30	10/10/15 16:41
119	491	119	05/10/15 10:05	20/10/15 15:10
120	147	93	05/10/15 10:39	08/10/15 11:01
121	473	40	05/10/15 10:42	21/10/15 11:58
122	165	119	05/10/15 11:23	12/10/15 15:05
123	371	10	05/10/15 11:50	14/10/15 12:39
124	235	71	05/10/15 12:04	23/10/15 09:16
125	265	160	05/10/15 12:20	10/10/15 15:44
126	27	167	05/10/15 12:32	09/10/15 12:05
127	213	89	05/10/15 13:46	16/10/15 08:25
128	468	115	05/10/15 15:20	20/10/15 15:13
129	441	46	05/10/15 16:54	10/10/15 12:36
130	230	25	05/10/15 17:02	13/10/15 09:41
131	43	126	05/10/15 17:12	09/10/15 18:38
132	436	122	05/10/15 18:07	17/10/15 09:49
133	293	140	05/10/15 19:19	22/10/15 18:00
134	117	23	05/10/15 19:59	07/10/15 10:47
135	465	63	06/10/15 00:43	15/10/15 11:54
136	93	62	06/10/15 08:46	20/10/15 19:51
137	50	89	06/10/15 08:47	23/10/15 10:07
138	277	52	06/10/15 10:20	24/10/15 14:00
139	437	14	06/10/15 10:23	20/10/15 09:01
140	298	97	06/10/15 10:36	19/10/15 16:51
141	384	110	06/10/15 13:15	14/10/15 17:56
142	216	81	06/10/15 13:16	20/10/15 12:50
143	81	105	06/10/15 13:33	19/10/15 12:47
144	118	91	06/10/15 14:14	19/10/15 08:09
145	197	150	06/10/15 14:56	21/10/15 12:47
146	451	69	06/10/15 15:03	09/10/15 15:40
147	452	30	06/10/15 15:13	07/10/15 12:05
148	349	73	06/10/15 15:46	26/10/15 13:07
149	142	104	06/10/15 15:56	21/10/15 17:20
150	497	24	06/10/15 16:08	10/10/15 12:47
151	235	49	06/10/15 17:56	09/10/15 09:58
152	485	45	06/10/15 19:31	23/10/15 19:26
153	357	140	07/10/15 04:45	14/10/15 07:43
154	443	153	07/10/15 08:12	14/10/15 11:23
155	133	97	07/10/15 10:39	16/10/15 12:44
156	436	113	07/10/15 11:17	12/10/15 19:15
157	236	43	07/10/15 11:57	15/10/15 10:09
158	380	11	07/10/15 12:56	09/10/15 11:19
159	11	16	07/10/15 13:19	15/10/15 18:55
160	260	104	07/10/15 13:29	22/10/15 11:25
161	230	106	07/10/15 13:40	22/10/15 17:06
162	423	58	07/10/15 15:46	17/10/15 18:36
163	474	147	07/10/15 17:47	10/10/15 09:42
164	78	161	07/10/15 18:06	09/10/15 15:04
165	65	43	07/10/15 18:07	15/10/15 12:50
166	291	137	08/10/15 10:17	10/10/15 11:04
167	425	18	08/10/15 11:05	21/10/15 18:21
168	161	36	08/10/15 11:10	16/10/15 17:14
169	452	153	08/10/15 13:51	17/10/15 11:32
170	13	67	08/10/15 15:06	15/10/15 16:09
171	328	124	08/10/15 18:29	10/10/15 16:05
172	375	71	08/10/15 19:59	28/10/15 11:31
173	469	155	08/10/15 21:25	12/10/15 16:07
174	216	59	09/10/15 02:54	18/10/15 05:07
175	29	34	09/10/15 08:32	14/10/15 08:17
176	139	82	09/10/15 10:06	14/10/15 09:35
177	256	111	09/10/15 11:04	24/10/15 14:37
178	29	130	09/10/15 11:29	26/10/15 11:47
179	171	115	09/10/15 11:54	12/10/15 13:52
180	115	19	09/10/15 11:56	17/10/15 13:21
181	427	86	09/10/15 14:28	17/10/15 08:20
182	368	78	09/10/15 15:23	26/10/15 15:53
183	114	35	09/10/15 15:41	09/10/15 17:22
184	196	150	09/10/15 15:47	28/10/15 16:21
185	23	26	09/10/15 15:48	21/10/15 10:51
186	263	117	09/10/15 17:49	15/10/15 16:57
187	26	65	09/10/15 18:21	15/10/15 12:04
188	414	118	09/10/15 18:58	16/10/15 08:40
189	469	35	10/10/15 03:13	24/10/15 12:30
190	112	103	10/10/15 08:56	19/10/15 13:58
191	34	116	10/10/15 09:53	21/10/15 19:35
192	91	14	10/10/15 12:22	15/10/15 09:40
193	163	1	10/10/15 13:27	23/10/15 13:57
194	121	93	10/10/15 15:13	27/10/15 14:07
195	255	97	10/10/15 16:53	22/10/15 14:13
196	499	92	10/10/15 17:22	26/10/15 08:50
197	336	17	10/10/15 19:14	20/10/15 19:37
198	140	114	10/10/15 19:32	26/10/15 19:48
199	3	34	10/10/15 19:55	15/10/15 09:20
200	223	139	11/10/15 11:59	31/10/15 10:40
201	272	131	11/10/15 22:59	19/10/15 22:44
202	408	85	12/10/15 11:01	15/10/15 12:32
203	345	148	12/10/15 13:19	27/10/15 14:10
204	349	134	12/10/15 13:52	23/10/15 08:15
205	140	47	12/10/15 15:35	20/10/15 17:02
206	166	23	12/10/15 15:41	12/10/15 16:52
207	319	131	12/10/15 16:03	21/10/15 17:24
208	151	123	12/10/15 16:15	19/10/15 16:08
209	112	152	12/10/15 16:37	22/10/15 14:11
210	264	56	12/10/15 17:34	13/10/15 10:44
211	314	85	12/10/15 18:01	20/10/15 10:13
212	365	152	12/10/15 18:02	31/10/15 09:50
213	133	43	12/10/15 19:01	15/10/15 11:07
214	484	80	13/10/15 01:28	22/10/15 01:10
215	474	106	13/10/15 08:42	19/10/15 09:59
216	180	115	13/10/15 10:54	31/10/15 13:47
217	51	138	13/10/15 10:57	21/10/15 09:27
218	106	117	13/10/15 12:25	26/10/15 18:37
219	355	10	13/10/15 14:25	22/10/15 09:37
220	180	14	13/10/15 14:47	15/10/15 10:31
221	311	126	13/10/15 15:12	31/10/15 09:05
222	479	113	13/10/15 15:22	13/10/15 17:20
223	326	105	13/10/15 16:07	02/11/15 11:15
224	62	5	13/10/15 16:10	22/10/15 10:43
225	100	128	13/10/15 16:57	22/10/15 15:49
226	384	164	13/10/15 17:25	16/10/15 16:57
227	47	65	13/10/15 18:32	16/10/15 08:03
228	460	161	13/10/15 18:50	24/10/15 19:19
229	368	119	13/10/15 18:55	31/10/15 17:24
230	282	58	13/10/15 19:43	30/10/15 19:43
231	234	19	13/10/15 19:47	02/11/15 11:15
232	319	137	14/10/15 08:21	17/10/15 11:45
233	208	163	14/10/15 08:48	23/10/15 16:32
234	483	11	14/10/15 09:34	29/10/15 09:09
235	58	71	14/10/15 10:15	29/10/15 13:47
236	37	50	14/10/15 10:25	14/10/15 12:52
237	438	87	14/10/15 10:32	24/10/15 15:29
238	175	106	14/10/15 11:25	21/10/15 09:57
239	218	2	14/10/15 11:54	24/10/15 13:52
240	353	126	14/10/15 14:55	27/10/15 18:29
241	179	6	14/10/15 14:57	20/10/15 15:25
242	498	87	14/10/15 15:30	21/10/15 18:30
243	33	133	14/10/15 15:52	27/10/15 15:38
244	19	121	14/10/15 16:20	15/10/15 09:17
245	428	113	14/10/15 18:56	24/10/15 16:28
246	81	154	15/10/15 09:35	27/10/15 12:54
247	256	25	15/10/15 09:51	31/10/15 13:42
248	224	163	15/10/15 10:45	16/10/15 11:34
249	252	102	15/10/15 11:05	21/10/15 18:42
250	204	117	15/10/15 12:08	22/10/15 17:44
251	339	33	15/10/15 12:08	02/11/15 14:24
252	474	69	15/10/15 12:28	16/10/15 09:03
253	489	17	15/10/15 13:22	26/10/15 15:18
254	235	129	15/10/15 13:22	20/10/15 09:01
255	361	36	15/10/15 14:03	23/10/15 08:47
256	173	55	15/10/15 14:12	27/10/15 14:48
257	472	45	15/10/15 14:50	30/10/15 14:42
258	263	163	15/10/15 15:40	17/10/15 17:39
259	436	22	15/10/15 16:32	16/10/15 13:59
260	62	82	15/10/15 17:49	19/10/15 17:40
261	501	70	15/10/15 19:03	24/10/15 17:38
262	233	71	15/10/15 19:14	21/10/15 11:53
263	442	112	15/10/15 19:17	27/10/15 14:04
264	129	46	16/10/15 07:11	23/10/15 23:00
265	36	39	16/10/15 08:53	29/10/15 18:47
267	321	127	16/10/15 10:51	31/10/15 19:37
